0p03	0.03	0	
0p06	0.06	0	
0p09	0.09	0	
0p12	0.12	0	
0p03	0.03	1	
0p06	0.06	1	
0p09	0.09	1	
0p12	0.12	1	
0p03	0.03	2	
0p06	0.06	2	
0p09	0.09	2	
0p12	0.12	2	
0p03	0.03	3	
0p06	0.06	3	
0p09	0.09	3	
0p12	0.12	3	
0p03	0.03	4	
0p06	0.06	4	
0p09	0.09	4	
0p12	0.12	4	
0p03	0.03	5	
0p06	0.06	5	
0p09	0.09	5	
0p12	0.12	5	
0p03	0.03	6	
0p06	0.06	6	
0p09	0.09	6	
0p12	0.12	6	
0p03	0.03	7	
0p06	0.06	7	
0p09	0.09	7	
0p12	0.12	7	
0p03	0.03	8	
0p06	0.06	8	
0p09	0.09	8	
0p12	0.12	8	
0p03	0.03	9	
0p06	0.06	9	
0p09	0.09	9	
0p12	0.12	9	
0p03	0.03	10	
0p06	0.06	10	
0p09	0.09	10	
0p12	0.12	10	
0p03	0.03	11	
0p06	0.06	11	
0p09	0.09	11	
0p12	0.12	11	
0p03	0.03	12	
0p06	0.06	12	
0p09	0.09	12	
0p12	0.12	12	
0p03	0.03	13	
0p06	0.06	13	
0p09	0.09	13	
0p12	0.12	13	
0p03	0.03	14	
0p06	0.06	14	
0p09	0.09	14	
0p12	0.12	14	
0p03	0.03	15	
0p06	0.06	15	
0p09	0.09	15	
0p12	0.12	15	
0p03	0.03	16	
0p06	0.06	16	
0p09	0.09	16	
0p12	0.12	16	
0p03	0.03	17	
0p06	0.06	17	
0p09	0.09	17	
0p12	0.12	17	
0p03	0.03	18	
0p06	0.06	18	
0p09	0.09	18	
0p12	0.12	18	
0p03	0.03	19	
0p06	0.06	19	
0p09	0.09	19	
0p12	0.12	19	
0p03	0.03	20	
0p06	0.06	20	
0p09	0.09	20	
0p12	0.12	20	
0p03	0.03	21	
0p06	0.06	21	
0p09	0.09	21	
0p12	0.12	21	
0p03	0.03	22	
0p06	0.06	22	
0p09	0.09	22	
0p12	0.12	22	
0p03	0.03	23	
0p06	0.06	23	
0p09	0.09	23	
0p12	0.12	23	
0p03	0.03	24	
0p06	0.06	24	
0p09	0.09	24	
0p12	0.12	24	
0p03	0.03	25	
0p06	0.06	25	
0p09	0.09	25	
0p12	0.12	25	
0p03	0.03	26	
0p06	0.06	26	
0p09	0.09	26	
0p12	0.12	26	
0p03	0.03	27	
0p06	0.06	27	
0p09	0.09	27	
0p12	0.12	27	
0p03	0.03	28	
0p06	0.06	28	
0p09	0.09	28	
0p12	0.12	28	
0p03	0.03	29	
0p06	0.06	29	
0p09	0.09	29	
0p12	0.12	29	
0p03	0.03	30	
0p06	0.06	30	
0p09	0.09	30	
0p12	0.12	30	
0p03	0.03	31	
0p06	0.06	31	
0p09	0.09	31	
0p12	0.12	31	
0p03	0.03	32	
0p06	0.06	32	
0p09	0.09	32	
0p12	0.12	32	
0p03	0.03	33	
0p06	0.06	33	
0p09	0.09	33	
0p12	0.12	33	
0p03	0.03	34	
0p06	0.06	34	
0p09	0.09	34	
0p12	0.12	34	
0p03	0.03	35	
0p06	0.06	35	
0p09	0.09	35	
0p12	0.12	35	
0p03	0.03	36	
0p06	0.06	36	
0p09	0.09	36	
0p12	0.12	36	
0p03	0.03	37	
0p06	0.06	37	
0p09	0.09	37	
0p12	0.12	37	
0p03	0.03	38	
0p06	0.06	38	
0p09	0.09	38	
